"Story","Title","Result","Date","Stability","Duration (s)"
"Sprawdzenie listy incydentow","Brak zgloszonych incydentow dla zalogowanego uzytkownika","SUCCESS","2016-05-28T16:36:23.901+02:00","0.0","11.16"
"Dodanie nowego pracownika","Dodanie nowego pracownika","SUCCESS","2016-05-28T16:36:35.538+02:00","0.0","17.08"
"Filtrowanie incydentow","Filtrowanie incydentow po statusie ""zgloszony""","SUCCESS","2016-05-28T16:39:05.303+02:00","0.0","11.58"
"Filtrowanie uzytkownikow","Filtrowanie uzytkownikow po roli ROLE_USER","SUCCESS","2016-05-28T16:37:32.363+02:00","0.0","13.59"
"Poprawne logowanie","Poprawne logowanie do systemu ICM","SUCCESS","2016-05-28T16:38:26.454+02:00","0.0","9.45"
"Zakladanie konta","Poprawne zalozenie nowego konta","SUCCESS","2016-05-28T16:36:53.031+02:00","0.0","13.66"
"Szczegoly incydentu pracownik","Pracownik dodaje plik do incydentu","SUCCESS","2016-05-28T16:36:07.756+02:00","0.0","15.63"
"Szczegoly incydentu pracownik","Pracownik edytuje opis incydentu","SUCCESS","2016-05-28T16:35:44.171+02:00","0.0","23.56"
"Statystyki","Przegladanie statystyk incydentow","SUCCESS","2016-05-28T16:39:17.460+02:00","0.0","10.35"
"Formularz dodania nowego incydentu","Uzytkownik dodaje nowy incydent blednie","SUCCESS","2016-05-28T16:38:03.389+02:00","0.0","9.01"
"Formularz dodania nowego incydentu","Uzytkownik dodaje nowy incydent poprawnie","SUCCESS","2016-05-28T16:37:46.878+02:00","0.0","16.51"
"Szczegoly incydentu uzytkownik","Uzytkownik edytuje opis incydentu","SUCCESS","2016-05-28T16:38:36.300+02:00","0.0","19.14"
"Wyszukiwanie incydentow po identyfikatorze","Wyszukiwanie istniejacego incydentu","SUCCESS","2016-05-28T16:39:28.260+02:00","0.0","13.19"
"Obsluga incydentu administrator","administrator przypisuje incydent do pracownika","SUCCESS","2016-05-28T16:37:22.247+02:00","0.0","9.33"
"Obsluga incydentu administrator","administrator zmienia status incydentu z niepotwierdzony na zgłoszony","SUCCESS","2016-05-28T16:37:07.176+02:00","0.0","15.07"
"Szczegoly incydentu uzytkownik","uzytkownik dodaje plik do incydentu","SUCCESS","2016-05-28T16:38:55.443+02:00","0.0","9.41"
